Start State:
cross section    distance           zbed     leftdam    rightdam  bottomlevel              z          eline              A              Q              C        delta x         
        16             25        28.8186                 0                  0                    0
        17             25        28.8187                 0                  0                    0
        18             25        28.8176                 0                  0                    0
        19             25        28.8188                 0                  0                    0
        20             25        28.8182                 0                  0                    0
        21             25        28.8161                 0                  0                    0
        22             25        28.8188                 0                  0                    0
        23             25        28.8189                 0                  0                    0
        24             25        28.8189                 0                  0                    0
        25             25        28.8189                 0                  0                    0
        26             25        28.8186                 0                  0                    0
        27             25        28.8187                 0                  0                    0
        28             25        28.8176                 0                  0                    0
        29             25        28.8188                 0                  0                    0
        30             25        28.8182                 0                  0                    0
        31             25        28.8161                 0                  0                    0
        32             25        28.8188                 0                  0                    0
        33             25        28.8189                 0                  0                    0
        34             25        28.8189                 0                  0                    0
        35             25        28.8189                 0                  0                    0
        36             25        28.8186                 0                  0                    0
        37             25        28.8187                 0                  0                    0
        38             25        28.8176                 0                  0                    0
        39             25        28.8188                 0                  0                    0
        40             25        28.8182                 0                  0                    0
        41             25        28.8161                 0                  0                    0
        42             25        28.8188                 0                  0                    0
        43             25        28.8189                 0                  0                    0
        44             25        28.8189                 0                  0                    0
        45             25        28.8189                 0                  0                    0
        46             25        28.8186                 0                  0                    0
        47             25        28.8187                 0                  0                    0
        48             25        28.8176                 0                  0                    0
        49             25        28.8188                 0                  0                    0
        50             25        28.8182                 0                  0                    0
        51             25        28.8161                 0                  0                    0
        52             25        28.8188                 0                  0                    0
        53             25        28.8189                 0                  0                    0
        54             25        28.8189                 0                  0                    0
        55             25        28.8189                 0                  0                    0
        56             25        28.8186                 0                  0                    0
        57             25        28.8187                 0                  0                    0
        58             25        28.8176                 0                  0                    0
        59             25        28.8188                 0                  0                    0
        60             25        28.8182                 0                  0                    0
        61             25        28.8161                 0                  0                    0
        62             25        28.8188                 0                  0                    0
        63             25        28.8189                 0                  0                    0
        64             25        28.8189                 0                  0                    0
        65             25        28.8189                 0                  0                    0
        66             25        28.8186                 0                  0                    0
